frame,ear,threshold,mov_ear_3,mov_ear_5,mov_ear_7
0,0.3118572461538506,0,,,
1,0.29229056408738047,0,,,
2,0.28802691334115105,0,0.2973915745274607,,
3,0.2852742846351621,0,0.28853058735456455,0.2948713265661705,
4,0.29690762461330816,0,0.2900696075298738,0.2887362590747237,0.29211805768288596
5,0.28118190869661686,0,0.28778793931502905,0.28813571870779414,0.28867413506982587
6,0.2892878622527326,0,0.2891257985208859,0.2880802936120499,0.29105053121837837
7,0.2877497878624299,0,0.286073186270593,0.29281050411046705,0.293649386782425
8,0.308925337127248,1,0.29532099574747006,0.294672759645701,0.2969027981393203
9,0.3062189022894779,0,0.3009646757597186,0.3000460107330635,0.2964011491978682
10,0.3080481641334287,0,0.30773080118338497,0.3008676546871456,0.2994219845464129
11,0.29339608202314316,0,0.30255438281535013,0.30378324834194553,0.29992642423316124
12,0.3023277561364295,0,0.30125733409766725,0.30056196892849024,0.3024812779059723
13,0.29281894005997133,0,0.29618092607318136,0.300444941185016,0.29884123335902785
14,0.3056337635721076,0,0.3002601532561693,0.2955243134180575,0.3009189885235094
15,0.28344502529863635,0,0.2939659096435716,0.3009977347015987,0.30021198824952516
16,0.3207631884408494,0,0.3032806591038642,0.30115201591742063,0.299339476709621
17,0.30309916221553895,0,0.30243579198500825,0.3000459281541893,0.2971251136365883
18,0.28728850124381505,0,0.303716950633401,0.2962846183648079,0.29578786454429246
19,0.2868272146252002,0,0.29240495936151795,0.2962872525878607,0.294251058480088
20,0.28345819641390047,0,0.2858579707609718,0.29110983912422606,0.29639916169643904
21,0.2948761211226761,0,0.28838717738725883,0.290186356243737,0.29200656462390157
22,0.298481747813094,0,0.2922720217832235,0.2907316577815914,0.28948935839461115
23,0.29001500893308685,0,0.29445762595628544,0.2904619585786527,0.2899318530441303
24,0.2854787186105062,0,0.291325158452229,0.29184751205396237,0.2892760528337962
25,0.2903859637904489,0,0.28862656377801404,0.28931961045999943,0.2890606666038181
26,0.2822366131528615,0,0.2860337651846055,0.2860133594581914,0.28656926392856186
27,0.2819504928040546,0,0.2848576899157879,0.28349761815075053,0.28884607747828916
28,0.27743630239588296,0,0.28054113611759907,0.2892857629608862,0.28814817931531334
29,0.31441944266118527,1,0.29126874595370705,0.2882345145612476,0.29000068912712507
30,0.2851297217922565,0,0.29232848894977437,0.29147644938931305,0.2900115033389043
31,0.29844628729318845,0,0.2993318172488764,0.29317868348308307,0.29111241316023573
32,0.2904616632729047,0,0.291345890786116,0.2956800193843428,0.29410849774803643
33,0.2899429819021815,0,0.29295031082275774,0.2933807478358375,0.2965818293890773
34,0.30292308491865805,1,0.2944425766979144,0.2953047282540201,0.289579451282622
35,0.2947496238831685,0,0.29587189690133603,0.28869602997858196,0.2868557785608277
36,0.2654027959159988,0,0.2876918349059417,0.2838164998719403,0.28331244936439937
37,0.2660640127396964,0,0.275405477512954,0.28055650007514216,0.2826675115797345
38,0.2736429829181908,0,0.2683699305246279,0.27716130284746043,0.28273079470662993
39,0.28594709878025004,0,0.27521803147937857,0.2762885708289165,0.2763626550892409
40,0.2903859637904489,0,0.2833253484962963,0.274877233165104,0.27226530037693564
41,0.2583461075969362,0,0.27822639005587807,0.2748780587965712,0.27401642388925446
42,0.2660681408970317,0,0.2716000707614719,0.27568159431337913,0.27444901623563184
43,0.27766066050222926,0,0.26735830299873226,0.2723106063901966,0.2749847420386085
44,0.2690921591643371,0,0.27094032018786623,0.2697120263399121,0.27323385570482117
45,0.2773930635390257,0,0.27471529440186454,0.27278098370927284,0.27146006829293867
