frame,threshold,blink,ear_norm
0,0,0.0,0.5449568565218356
1,0,0.0,0.46045069351395884
2,0,0.0,0.43327451754599117
3,0,0.0,0.37806775235254897
4,1,0.0,0.5482650271794809
5,0,0.0,0.4061674494791058
6,0,0.0,0.4774238322318905
7,0,0.0,0.43974545163598133
8,0,0.0,0.4299285801339911
9,1,0.0,0.5070383718284536
10,0,0.0,0.39875901271276204
11,0,0.0,0.42641484430339427
12,0,0.0,0.47824385222561644
13,0,0.0,0.46660556107482937
14,0,0.0,0.4035324990360506
15,1,0.0,0.4935896002176531
16,0,0.0,0.49530087572960396
17,0,0.0,0.4575538483312113
18,0,0.0,0.5004156031759552
19,0,0.0,0.41443267314457094
20,0,0.0,0.39726313464898705
21,0,0.0,0.39726313464898705
22,0,0.0,0.45256630011460763
23,1,0.0,0.49840867346724593
24,0,0.0,0.42055822730106845
25,0,0.0,0.481741953445864
26,0,0.0,0.42391194975661933
27,0,0.0,0.4695746631199481
28,0,0.0,0.39546361577571876
29,1,0.0,0.542107993721903
30,0,0.0,0.4698459804858381
31,0,0.0,0.506955371742135
32,0,0.0,0.42413192974818786
33,0,0.0,0.5285914961832278
34,0,0.0,0.45256630011460763
35,0,0.0,0.45256630011460763
36,0,0.0,0.39546361577571876
37,0,0.0,0.4347036447469955
38,0,0.0,0.4529859433907721
39,0,0.0,0.4350567584946831
40,0,0.0,0.3364887434307276
41,0,0.0,0.3970059086888283
42,0,0.0,0.36427189691835504
43,0,0.0,0.4517914436890163
44,0,0.0,0.39465221785997645
45,0,0.0,0.40759882765489774
46,0,0.0,0.3938627451355064
47,0,0.0,0.3669402749496858
48,0,0.0,0.4547075641958985
49,0,0.0,0.3969821633352724
50,0,0.0,0.4737577611246781
51,0,0.0,0.4735074067386536
52,0,0.0,0.4423912016720982
53,0,0.0,0.422076952728508
54,0,0.0,0.4839479895260851
55,0,0.0,0.17071105464522873
56,0,0.0,0.06957789988428288
57,0,0.0,0.29266205503601944
58,0,1.0,0.3649389396145126
59,0,0.0,0.3667821307066677
60,0,0.0,0.442657451639141
61,0,0.0,0.4798555707596628
62,0,0.0,0.3651376212496824
63,0,0.0,0.3814903530547088
64,0,0.0,0.4239470912242412
65,0,0.0,0.4012367153306211
66,0,0.0,0.42648459953841356
67,0,0.0,0.465906024153294
68,0,0.0,0.44937855367577867
69,0,0.0,0.4358058719363271
70,0,0.0,0.3646232256475709
71,0,0.0,0.4798555707596628
72,0,0.0,0.4223324108749194
73,0,0.0,0.40610627873710375
74,0,0.0,0.42367699109903034
75,0,0.0,0.43684197646522777
76,0,0.0,0.43500865486419593
77,0,0.0,0.422076952728508
78,0,0.0,0.36357367420512104
79,0,0.0,0.3936072869890952
80,0,0.0,0.3651376212496824
81,0,0.0,0.4223324108749194
82,0,0.0,0.423875536057719
83,0,0.0,0.3936072869890952
84,0,0.0,0.3940269302652597
85,0,0.0,0.4528376174804976
86,0,0.0,0.4223324108749194
87,0,0.0,0.45310669355568656
88,0,0.0,0.45124990941219095
89,0,0.0,0.4528376174804976
90,0,0.0,0.3796780175022837
91,0,0.0,0.42596882238129696
92,0,0.0,0.29276672443378543
93,0,0.0,0.2486404310354739
94,0,0.0,0.36862489604475024
95,0,1.0,0.3937886983513147
96,0,0.0,0.43945282072620745
97,1,0.0,0.5053074379293815
98,0,0.0,0.46736888760538553
99,0,0.0,0.4695014894704735
100,1,0.0,0.5030921599756072
101,0,0.0,0.3937860643539665
102,0,0.0,0.42169446047265574
103,1,0.0,0.5411882099029985
104,0,0.0,0.493752071447342
105,0,0.0,0.43753975789413846
106,0,0.0,0.4804632929874856
107,0,0.0,0.4759650027492587
108,0,0.0,0.47747422198581024
109,0,0.0,0.44735304080481003
110,1,0.0,0.510905210714504
111,0,0.0,0.43876240481703127
112,0,0.0,0.43790273398709795
113,0,0.0,0.4541868126003658
114,0,0.0,0.43774853685852844
115,0,0.0,0.45203140007170295
116,0,0.0,0.4646276584261284
117,0,0.0,0.4789087156466336
118,0,0.0,0.4823143992601976
119,1,0.0,0.5110843304551318
120,0,0.0,0.48224037216940663
121,0,0.0,0.4823143992601976
122,0,0.0,0.4239137228820217
123,1,0.0,0.4939504379719136
124,0,0.0,0.4561942214030223
125,0,0.0,0.4495276764162272
126,0,0.0,0.44598017239952265
127,1,0.0,0.5218292670727791
128,0,0.0,0.48087576847046926
129,0,0.0,0.42411887959779726
130,0,0.0,0.3964064877122523
131,0,0.0,0.4536289493999553
132,0,0.0,0.46830645688013167
133,0,0.0,0.45288881079273147
134,0,0.0,0.42050157496241725
135,0,0.0,0.3428758870461513
136,0,0.0,0.2692727595416711
137,0,0.0,0.31143135351119183
138,0,0.0,0.39749037844175933
139,0,1.0,0.3946489231908527
140,0,0.0,0.36764067923213467
141,0,0.0,0.48646661372448435
142,0,0.0,0.4065193066641602
143,0,0.0,0.3937886983513147
144,0,0.0,0.45203552278651987
145,0,0.0,0.427464078527062
146,0,0.0,0.39877331447017317
147,0,0.0,0.37008255041328453
148,0,0.0,0.450978592046301
149,0,0.0,0.4526836540769561
150,0,0.0,0.435117929236685
151,0,0.0,0.483907825873633
152,0,0.0,0.45738440029914024
153,1,0.0,0.5375083529014881
154,0,0.0,0.4075292717677188
155,0,0.0,0.4536289493999553
156,0,0.0,0.42750345734613365
157,0,0.0,0.4700462879090898
158,0,0.0,0.44492597848772103
159,0,0.0,0.4374142897184216
160,0,0.0,0.42411887959779726
161,0,0.0,0.4544428585870954
162,0,0.0,0.4777316818810346
163,0,0.0,0.45607566401960226
164,0,0.0,0.43684897309948917
165,1,0.0,0.5093076613862519
166,0,0.0,0.5110843304551318
167,0,0.0,0.3953095695837915
168,0,0.0,0.45203140007170295
169,1,0.0,0.560251387844664
170,0,0.0,0.4544428585870954
171,0,0.0,0.49377268276248687
172,0,0.0,0.542107993721903
173,0,0.0,0.5438849517576366
174,0,0.0,0.4767972987047518
175,0,0.0,0.42201963683659793
176,1,0.0,0.5405145671084676
177,0,0.0,0.4504379734582675
178,0,0.0,0.5134965709524514
179,0,0.0,0.5435301359113032
180,0,0.0,0.4544428585870954
181,0,0.0,0.4552223760133907
182,0,0.0,0.4847664280764913
183,0,0.0,0.4847664280764913
184,0,0.0,0.483907825873633
185,0,0.0,0.4823143992601976
186,0,0.0,0.4824691950839047
187,1,0.0,0.5435301359113032
188,0,0.0,0.5692844983034017
189,0,0.0,0.542107993721903
190,0,0.0,0.48317300146305586
191,0,0.0,0.4479775896771177
192,1,0.0,0.5692844983034017
193,0,0.0,0.4439874818508404
194,0,0.0,0.6348478406246623
195,0,0.0,0.5059076669963487
196,0,0.0,0.5886727854516257
197,0,0.0,0.542091505121575
198,0,0.0,0.4938465769600214
199,0,0.0,0.483325555845586
200,0,0.0,0.4544362468300085
201,1,0.0,0.4992921152232934
202,0,0.0,0.503144263680094
203,0,0.0,0.5188453070766691
