frame,threshold,blink,ear_norm
0,0.0,0.0,0.6082614986266874
1,0.0,0.0,0.6415727879711526
2,0.0,0.0,0.6415727879711526
3,1.0,0.0,0.6469846287466455
4,0.0,0.0,0.6279710281554143
5,0.0,0.0,0.5619504623089507
6,0.0,0.0,0.5356298755138503
7,0.0,0.0,0.6279710281554143
8,0.0,0.0,0.6334274737486489
9,0.0,0.0,0.5622377087481379
10,0.0,0.0,0.6359235493268452
11,1.0,0.0,0.6658624394631022
12,0.0,0.0,0.6658624394631022
13,0.0,0.0,0.7258965499784915
14,0.0,0.0,0.6928409595843206
15,0.0,0.0,0.6279710281554143
16,0.0,0.0,0.6297674432119915
17,0.0,0.0,0.6268541209446861
18,1.0,0.0,0.6572697587276167
19,0.0,0.0,0.6054219132477102
20,0.0,0.0,0.6572697587276167
21,0.0,0.0,0.6626977769145178
22,0.0,0.0,0.6331213985559582
23,0.0,0.0,0.6334274737486489
24,0.0,0.0,0.5642559157648188
25,0.0,0.0,0.6331213985559582
26,0.0,0.0,0.5919964895791107
27,0.0,0.0,0.6334274737486489
28,0.0,0.0,0.6331213985559582
29,0.0,0.0,0.6188170882849556
30,0.0,0.0,0.564934634714172
31,0.0,0.0,0.6334274737486489
32,0.0,0.0,0.6279710281554143
33,1.0,0.0,0.6604059938698675
34,0.0,0.0,0.5975553903724835
35,0.0,0.0,0.6334274737486489
36,0.0,0.0,0.6221776846719275
37,0.0,0.0,0.6334274737486489
38,0.0,0.0,0.5552938561147354
39,0.0,0.0,0.2775134300163394
40,0.0,0.0,0.1536157407361735
41,0.0,0.0,0.2124452391513694
42,0.0,1.0,0.25744452567512804
43,0.0,0.0,0.2722330266195645
44,0.0,0.0,0.36738023660151947
45,0.0,0.0,0.4097139790024913
46,0.0,0.0,0.4386479717267735
47,0.0,0.0,0.5295154965944977
48,0.0,0.0,0.4533095209041843
49,0.0,0.0,0.4638645800809805
50,0.0,0.0,0.503194909799397
51,0.0,0.0,0.5199010764241982
52,0.0,0.0,0.49708053088004445
53,0.0,0.0,0.5292274258249063
54,0.0,0.0,0.6009925080341958
55,0.0,0.0,0.5116794911170756
56,0.0,0.0,0.5486693620269152
57,0.0,0.0,0.5491748422285848
58,0.0,0.0,0.5811043277413684
59,0.0,0.0,0.5001007121314646
60,0.0,0.0,0.5353418047442589
61,0.0,0.0,0.521916055860474
62,0.0,0.0,0.5556139889406407
63,0.0,0.0,0.6344112544504087
64,1.0,0.0,0.6546950440540747
65,0.0,0.0,0.6658624394631022
66,0.0,0.0,0.6755670050486619
67,0.0,0.0,0.6737086446453058
68,0.0,0.0,0.6079158909909353
69,0.0,0.0,0.6178119589124021
70,0.0,0.0,0.5619504623089507
71,0.0,0.0,0.5677587660356124
72,0.0,0.0,0.5196118847397652
73,0.0,0.0,0.5680648412283034
74,1.0,0.0,0.6878528475512912
75,0.0,0.0,0.6859944871479352
76,0.0,0.0,0.6878528475512912
77,0.0,0.0,0.5680648412283034
78,0.0,0.0,0.6004998069427564
79,0.0,0.0,0.5711886752017159
80,0.0,0.0,0.5680648412283034
81,0.0,0.0,0.6160633057525748
82,0.0,0.0,0.5870784418195344
83,0.0,0.0,0.5619504623089507
84,0.0,0.0,0.5619504623089507
85,0.0,0.0,0.6334274737486489
86,1.0,0.0,0.6658624394631022
87,0.0,0.0,0.6878990893060999
88,0.0,0.0,0.6658624394631022
89,0.0,0.0,0.6604059938698675
90,0.0,0.0,0.6626977769145178
91,0.0,0.0,0.6859944871479352
92,0.0,0.0,0.6626977769145178
93,0.0,0.0,0.719564975482981
94,0.0,0.0,0.6982974051775555
95,0.0,0.0,0.717097984905033
96,0.0,0.0,0.6982974051775555
97,0.0,0.0,0.6626977769145178
98,0.0,0.0,0.6658624394631022
99,0.0,0.0,0.6982974051775555
100,0.0,0.0,0.6626977769145178
101,0.0,0.0,0.7652696832028025
102,0.0,0.0,0.6955811517731932
103,0.0,0.0,0.7652696832028025
104,0.0,0.0,0.7619882927421548
105,0.0,0.0,0.7151842857928161
106,0.0,0.0,0.7121435416744811
107,0.0,0.0,0.6951327426289708
108,0.0,0.0,0.7603705786811117
109,0.0,0.0,0.6655383598473119
110,0.0,0.0,0.5971184325733204
111,0.0,0.0,0.5052142377309193
112,0.0,0.0,0.49909985881156677
113,0.0,0.0,0.5652407099068628
114,0.0,0.0,0.554608964281895
115,0.0,0.0,0.5295154965944977
116,0.0,0.0,0.5494996100212882
117,0.0,0.0,0.39970121435150013
118,0.0,0.0,0.23006043226342643
119,0.0,0.0,0.36497388217513477
120,0.0,0.0,0.503194909799397
121,0.0,1.0,0.49708053088004445
122,0.0,0.0,0.5356298755138503
123,0.0,0.0,0.5619504623089507
124,0.0,0.0,0.5348250721239323
125,0.0,0.0,0.6354468016801714
126,0.0,0.0,0.6334274737486489
127,0.0,0.0,0.6248347930131635
128,0.0,0.0,0.6302628112000647
129,0.0,0.0,0.6302628112000647
130,0.0,0.0,0.6299903560869368
131,0.0,0.0,0.6007690489588442
132,0.0,0.0,0.6331213985559582
133,0.0,0.0,0.6276649529627235
134,0.0,0.0,0.5356298755138503
135,0.0,0.0,0.5520163907299684
